Video_path,Label
train/frames/fake/194,0
train/frames/fake/1534,0
train/frames/fake/910,0
train/frames/fake/967,0
train/frames/fake/1090,0
train/frames/fake/1104,0
train/frames/fake/860,0
train/frames/fake/1003,0
train/frames/fake/1074,0
train/frames/fake/1869,0
train/frames/fake/1549,0
train/frames/fake/1377,0
train/frames/fake/1300,0
train/frames/fake/643,0
train/frames/fake/1637,0
train/frames/fake/1640,0
train/frames/fake/279,0
train/frames/fake/1270,0
train/frames/fake/1136,0
train/frames/fake/1498,0
train/frames/fake/142,0
train/frames/fake/572,0
train/frames/fake/1696,0
train/frames/fake/1702,0
train/frames/fake/695,0
train/frames/fake/1235,0
train/frames/fake/346,0
train/frames/fake/524,0
train/frames/fake/553,0
train/frames/fake/559,0
train/frames/fake/903,0
train/frames/fake/974,0
train/frames/fake/454,0
train/frames/fake/1117,0
train/frames/fake/26,0
train/frames/fake/1380,0
train/frames/fake/1319,0
train/frames/fake/1653,0
train/frames/fake/310,0
train/frames/fake/367,0
train/frames/fake/217,0
train/frames/fake/1364,0
train/frames/fake/1158,0
train/frames/fake/1055,0
train/frames/fake/561,0
train/frames/fake/1568,0
train/frames/fake/1465,0
train/frames/fake/151,0
train/frames/fake/126,0
train/frames/fake/69,0
train/frames/fake/1418,0
train/frames/fake/14,0
train/frames/fake/63,0
train/frames/fake/1028,0
train/frames/fake/931,0
train/frames/fake/585,0
train/frames/fake/258,0
train/frames/fake/322,0
train/frames/fake/668,0
train/frames/fake/328,0
train/frames/fake/1766,0
train/frames/fake/715,0
train/frames/fake/618,0
train/frames/fake/255,0
train/frames/fake/1716,0
train/frames/fake/1052,0
train/frames/fake/846,0
train/frames/fake/511,0
train/frames/fake/1415,0
train/frames/fake/80,0
train/frames/fake/1058,0
train/frames/fake/1213,0
train/frames/fake/1654,0
train/frames/fake/1623,0
train/frames/fake/1629,0
train/frames/fake/1314,0
train/frames/fake/164,0
train/frames/fake/1450,0
train/frames/fake/1060,0
train/frames/fake/1017,0
train/frames/fake/809,0
train/frames/fake/904,0
train/frames/fake/180,0
train/frames/fake/246,0
train/frames/fake/1705,0
train/frames/fake/601,0
train/frames/fake/698,0
train/frames/fake/771,0
train/frames/fake/1232,0
train/frames/fake/952,0
train/frames/fake/1576,0
train/frames/fake/1592,0
train/frames/fake/93,0
train/frames/fake/958,0
train/frames/fake/1307,0
train/frames/fake/1740,0
train/frames/fake/209,0
train/frames/fake/373,0
train/frames/fake/304,0
train/frames/fake/639,0
train/frames/fake/1103,0
train/frames/fake/1097,0
train/frames/fake/530,0
train/frames/fake/810,0
train/frames/fake/1109,0
train/frames/fake/1190,0
train/frames/fake/1004,0
train/frames/fake/177,0
train/frames/fake/747,0
train/frames/fake/399,0
train/frames/fake/270,0
train/frames/fake/1733,0
train/frames/fake/1297,0
train/frames/fake/1279,0
train/frames/fake/1884,0
train/frames/fake/1099,0
train/frames/fake/863,0
train/frames/fake/1170,0
train/frames/fake/887,0
train/frames/fake/1860,0
train/frames/fake/36,0
train/frames/fake/41,0
train/frames/fake/179,0
train/frames/fake/1671,0
train/frames/fake/345,0
train/frames/fake/1241,0
train/frames/fake/1701,0
train/frames/fake/492,0
train/frames/fake/571,0
train/frames/fake/1148,0
train/frames/fake/79,0
train/frames/fake/97,0
train/frames/fake/141,0
train/frames/fake/1858,0
train/frames/fake/1578,0
train/frames/fake/73,0
train/frames/fake/1825,0
train/frames/fake/921,0
train/frames/fake/1038,0
train/frames/fake/1135,0
train/frames/fake/653,0
train/frames/fake/1367,0
train/frames/fake/754,0
train/frames/fake/723,0
train/frames/fake/1873,0
train/frames/fake/1804,0
train/frames/fake/25,0
train/frames/fake/52,0
train/frames/fake/1163,0
train/frames/fake/1019,0
train/frames/fake/977,0
train/frames/fake/457,0
train/frames/fake/1169,0
train/frames/fake/807,0
train/frames/fake/993,0
train/frames/fake/1559,0
train/frames/fake/117,0
train/frames/fake/58,0
train/frames/fake/251,0
train/frames/fake/782,0
train/frames/fake/788,0
train/frames/fake/711,0
train/frames/fake/568,0
train/frames/fake/465,0
train/frames/fake/1841,0
train/frames/fake/938,0
train/frames/fake/418,0
train/frames/fake/1056,0
train/frames/fake/518,0
train/frames/fake/10,0
train/frames/fake/89,0
train/frames/fake/1588,0
train/frames/fake/565,0
train/frames/fake/512,0
train/frames/fake/1026,0
train/frames/fake/1325,0
train/frames/fake/688,0
train/frames/fake/682,0
train/frames/fake/716,0
train/frames/fake/1768,0
train/frames/fake/1665,0
train/frames/fake/351,0
train/frames/fake/1803,0
train/frames/fake/1164,0
train/frames/fake/1087,0
train/frames/fake/907,0
train/frames/fake/1014,0
train/frames/fake/877,0
train/frames/fake/994,0
train/frames/fake/800,0
train/frames/fake/899,0
train/frames/fake/1424,0
train/frames/fake/1453,0
train/frames/fake/1529,0
train/frames/fake/189,0
train/frames/fake/28,0
train/frames/fake/1317,0
train/frames/fake/369,0
train/frames/fake/1727,0
train/frames/fake/314,0
train/frames/fake/363,0
train/frames/fake/1620,0
train/frames/fake/1657,0
train/frames/fake/629,0
train/frames/fake/1267,0
train/frames/fake/495,0
train/frames/fake/501,0
train/frames/fake/598,0
train/frames/fake/1138,0
train/frames/fake/131,0
train/frames/fake/1508,0
train/frames/fake/1478,0
train/frames/fake/471,0
train/frames/fake/1145,0
train/frames/fake/1341,0
train/frames/fake/778,0
train/frames/fake/1706,0
train/frames/fake/1193,0
train/frames/fake/1070,0
train/frames/fake/813,0
train/frames/fake/1199,0
train/frames/fake/434,0
train/frames/fake/1547,0
train/frames/fake/1810,0
train/frames/fake/109,0
train/frames/fake/1203,0
train/frames/fake/1373,0
train/frames/fake/1244,0
train/frames/fake/1233,0
train/frames/fake/1704,0
train/frames/fake/1690,0
train/frames/fake/92,0
train/frames/fake/133,0
train/frames/fake/1500,0
train/frames/fake/1494,0
train/frames/fake/1599,0
train/frames/fake/98,0
train/frames/fake/1130,0
train/frames/fake/1395,0
train/frames/fake/735,0
train/frames/fake/742,0
train/frames/fake/1736,0
train/frames/fake/396,0
train/frames/fake/1371,0
train/frames/fake/1306,0
train/frames/fake/198,0
train/frames/fake/1881,0
train/frames/fake/985,0
train/frames/fake/811,0
train/frames/fake/1108,0
train/frames/fake/1096,0
train/frames/fake/44,0
train/frames/fake/33,0
train/frames/fake/1532,0
train/frames/fake/1812,0
train/frames/fake/254,0
train/frames/fake/1760,0
train/frames/fake/619,0
train/frames/fake/229,0
train/frames/fake/1689,0
train/frames/fake/1667,0
train/frames/fake/417,0
train/frames/fake/937,0
train/frames/fake/1469,0
train/frames/fake/1487,0
train/frames/fake/12,0
train/frames/fake/1463,0
train/frames/fake/1053,0
train/frames/fake/589,0
train/frames/fake/1218,0
train/frames/fake/656,0
train/frames/fake/1725,0
train/frames/fake/288,0
train/frames/fake/211,0
train/frames/fake/1655,0
train/frames/fake/1368,0
train/frames/fake/1556,0
train/frames/fake/1188,0
train/frames/fake/1111,0
train/frames/fake/996,0
train/frames/fake/458,0
train/frames/fake/802,0
train/frames/fake/1182,0
train/frames/fake/112,0
train/frames/fake/165,0
train/frames/fake/168,0
train/frames/fake/1551,0
train/frames/fake/1871,0
train/frames/fake/878,0
train/frames/fake/1088,0
train/frames/fake/1286,0
train/frames/fake/651,0
train/frames/fake/1652,0
train/frames/fake/388,0
train/frames/fake/366,0
train/frames/fake/285,0
train/frames/fake/1215,0
train/frames/fake/1318,0
train/frames/fake/1153,0
train/frames/fake/1124,0
train/frames/fake/1029,0
train/frames/fake/489,0
train/frames/fake/947,0
train/frames/fake/86,0
train/frames/fake/68,0
train/frames/fake/483,0
train/frames/fake/837,0
train/frames/fake/253,0
train/frames/fake/780,0
train/frames/fake/764,0
train/frames/fake/1250,0
train/frames/fake/5,0
train/frames/fake/259,0
train/frames/fake/106,0
train/frames/fake/1868,0
train/frames/fake/816,0
train/frames/fake/982,0
train/frames/fake/536,0
train/frames/fake/431,0
train/frames/fake/446,0
train/frames/fake/1172,0
train/frames/fake/1862,0
train/frames/fake/1438,0
train/frames/fake/1815,0
train/frames/fake/1535,0
train/frames/fake/745,0
train/frames/fake/1641,0
train/frames/fake/1746,0
train/frames/fake/308,0
train/frames/fake/1047,0
train/frames/fake/134,0
train/frames/fake/1140,0
train/frames/fake/1339,0
train/frames/fake/1333,0
train/frames/fake/1703,0
train/frames/fake/1679,0
train/frames/fake/407,0
train/frames/fake/1503,0
train/frames/fake/1823,0
train/frames/fake/1473,0
train/frames/fake/494,0
train/frames/fake/577,0
train/frames/fake/820,0
train/frames/fake/1034,0
train/frames/fake/1043,0
train/frames/fake/1693,0
train/frames/fake/1337,0
train/frames/fake/603,0
train/frames/fake/704,0
train/frames/fake/1699,0
train/frames/fake/334,0
train/frames/fake/1546,0
train/frames/fake/30,0
train/frames/fake/1101,0
train/frames/fake/1095,0
train/frames/fake/1176,0
train/frames/fake/1198,0
train/frames/fake/435,0
train/frames/fake/448,0
train/frames/fake/812,0
train/frames/fake/1882,0
train/frames/fake/1372,0
train/frames/fake/1735,0
train/frames/fake/1742,0
train/frames/fake/306,0
train/frames/fake/1645,0
train/frames/fake/741,0
train/frames/fake/736,0
train/frames/fake/1202,0
train/frames/fake/1378,0
train/frames/fake/564,0
train/frames/fake/1460,0
train/frames/fake/1484,0
train/frames/fake/1787,0
train/frames/fake/1,0
train/frames/fake/1324,0
train/frames/fake/1229,0
train/frames/fake/667,0
train/frames/fake/610,0
train/frames/fake/784,0
train/frames/fake/1714,0
train/frames/fake/1680,0
train/frames/fake/1619,0
train/frames/fake/1808,0
train/frames/fake/1452,0
train/frames/fake/1425,0
train/frames/fake/29,0
train/frames/fake/166,0
train/frames/fake/521,0
train/frames/fake/1112,0
train/frames/fake/1086,0
train/frames/fake/182,0
train/frames/fake/54,0
train/frames/fake/628,0
train/frames/fake/1211,0
train/frames/fake/281,0
train/frames/fake/386,0
train/frames/fake/265,0
train/frames/fake/658,0
train/frames/fake/755,0
train/frames/fake/365,0
train/frames/fake/1626,0
train/frames/fake/262,0
train/frames/fake/1756,0
train/frames/fake/1721,0
train/frames/fake/1012,0
train/frames/fake/1065,0
train/frames/fake/1162,0
train/frames/fake/1081,0
train/frames/fake/456,0
train/frames/fake/1552,0
train/frames/fake/1805,0
train/frames/fake/1428,0
train/frames/fake/1719,0
train/frames/fake/710,0
train/frames/fake/684,0
train/frames/fake/1323,0
train/frames/fake/1713,0
train/frames/fake/514,0
train/frames/fake/1020,0
train/frames/fake/124,0
train/frames/fake/1467,0
train/frames/fake/1483,0
train/frames/fake/849,0
train/frames/fake/413,0
train/frames/fake/641,0
train/frames/fake/636,0
train/frames/fake/1375,0
train/frames/fake/1302,0
train/frames/fake/295,0
train/frames/fake/1635,0
train/frames/fake/746,0
train/frames/fake/886,0
train/frames/fake/548,0
train/frames/fake/1446,0
train/frames/fake/105,0
train/frames/fake/172,0
train/frames/fake/1694,0
train/frames/fake/243,0
train/frames/fake/1330,0
train/frames/fake/1347,0
train/frames/fake/673,0
train/frames/fake/774,0
train/frames/fake/1607,0
train/frames/fake/344,0
train/frames/fake/333,0
train/frames/fake/249,0
train/frames/fake/920,0
train/frames/fake/1504,0
train/frames/fake/1573,0
train/frames/fake/78,0
train/frames/fake/137,0
train/frames/fake/1597,0
train/frames/fake/1859,0
train/frames/fake/850,0
train/frames/fake/570,0
train/frames/real/1221,1
train/frames/real/173,1
train/frames/real/1666,1
train/frames/real/1785,1
train/frames/real/1611,1
train/frames/real/1688,1
train/frames/real/543,1
train/frames/real/534,1
train/frames/real/980,1
train/frames/real/814,1
train/frames/real/439,1
train/frames/real/1761,1
train/frames/real/913,1
train/frames/real/549,1
train/frames/real/869,1
train/frames/real/433,1
train/frames/real/444,1
train/frames/real/1326,1
train/frames/real/1351,1
train/frames/real/197,1
train/frames/real/1838,1
train/frames/real/1581,1
train/frames/real/7,1
train/frames/real/207,1
train/frames/real/393,1
train/frames/real/637,1
train/frames/real/1565,1
train/frames/real/1468,1
train/frames/real/1832,1
train/frames/real/851,1
train/frames/real/136,1
train/frames/real/1280,1
train/frames/real/401,1
train/frames/real/595,1
train/frames/real/1183,1
train/frames/real/248,1
train/frames/real/332,1
train/frames/real/1427,1
train/frames/real/678,1
train/frames/real/702,1
train/frames/real/775,1
train/frames/real/1520,1
train/frames/real/1877,1
train/frames/real/605,1
train/frames/real/791,1
train/frames/real/1110,1
